Strain range,R,Temp (C),Heat/Lot ID,Cycles
0.036450961,-1,850,Yukawa,75.21741756
0.014954006,-1,850,Yukawa,138.3973613
0.026822562,-1,850,Yukawa,129.7052657
0.017588035,-1,850,Yukawa,205.2729761
0.014231616,-1,850,Yukawa,376.3218742
0.009863814,-1,850,Yukawa,341.5998648
0.009867647,-1,850,Yukawa,280.3663584
0.009016596,-1,850,Yukawa,734.7955132
0.008029606,-1,850,Yukawa,929.6364334
0.006958316,-1,850,Yukawa,1235.864882
0.006635537,-1,850,Yukawa,1206.028962
0.004950047,-1,850,Yukawa,1979.326069
0.00511943,-1,850,Yukawa,2323.507551
0.004174646,-1,850,Yukawa,2631.712654
0.003951646,-1,850,Yukawa,3496.960304
0.004225379,-1,850,Yukawa,5657.831618
0.003687669,-1,850,Yukawa,6485.570953
0.003001571,-1,850,Yukawa,18773.86086
0.002978575,-1,850,Yukawa,29645.78296
0.002976696,-1,850,Yukawa,40867.1717
0.002295122,-1,850,Yukawa,108535.6949
0.002137544,-1,850,Yukawa,554004.1577
0.003020836,-1,850,Yukawa,725554.5398
0.028706352,-1,850,INL,132.8995194
0.029490534,-1,850,INL,148.4971176
0.019740827,-1,850,INL,205.1459222
0.019327614,-1,850,INL,304.5747656
0.009647737,-1,850,INL,841.3761172
0.005869328,-1,850,INL,1507.156003
0.005827332,-1,850,INL,1836.393784
0.003951646,-1,850,INL,3496.960304
0.003922324,-1,850,INL,4880.678088
0.002945171,-1,850,INL,9174.994437
0.002964452,-1,850,INL,10509.25301
0.00985089,-1,850,Totemeier,665.3727018
0.009845151,-1,850,Totemeier,894.8549879
0.002958412,-1,850,Totemeier,29646.86268
0.023283702,-1,950,Yukawa,183.7683065
0.020655176,-1,950,Yukawa,192.9355521
0.0201126,-1,950,Yukawa,163.504856
0.0201126,-1,950,Yukawa,293.2448839
0.015514988,-1,950,Yukawa,349.4140633
0.010133987,-1,950,Yukawa,258.381941
0.010133987,-1,950,Yukawa,441.3877705
0.010133987,-1,950,Yukawa,608.6325567
0.007169541,-1,950,Yukawa,645.2457587
0.006152014,-1,950,Yukawa,684.0614828
0.006111209,-1,950,Yukawa,491.2832121
0.006234443,-1,950,Yukawa,1000
0.006276071,-1,950,Yukawa,1976.89265
0.005174553,-1,950,Yukawa,1595.731547
0.006360162,-1,950,Yukawa,3580.23229
0.004323527,-1,950,Yukawa,2157.933489
0.004209955,-1,950,Yukawa,2521.687885
0.00429485,-1,950,Yukawa,3908.104549
0.004238065,-1,950,Yukawa,7954.891298
0.003038498,-1,950,Yukawa,4392.442966
0.002024689,-1,950,Yukawa,7954.891298
0.002423221,-1,950,Yukawa,12090.72745
0.003058786,-1,950,Yukawa,8270.800945
0.001894334,-1,950,Yukawa,92506.73683
0.001647263,-1,950,Yukawa,714698.0902
0.020382082,-1,950,INL,392.7175758
0.019979197,-1,950,INL,356.2845912
0.019979197,-1,950,INL,296.113886
0.010066771,-1,950,INL,651.5586104
0.01,-1,950,INL,677.4337158
0.010066771,-1,950,INL,864.1219815
0.010066771,-1,950,INL,907.2285356
0.00603041,-1,950,INL,1433.666717
0.006070675,-1,950,INL,1741.866229
0.003938907,-1,950,INL,3004.701048
0.003058786,-1,950,INL,5825.426077
0.002978437,-1,950,INL,6941.249131
0.003038498,-1,950,INL,9028.228389
0.002521936,-1,950,INL,16835.09784
0.002038208,-1,950,INL,89843.85372
0.010201652,-1,950,Totemeier,510.7933601
0.01,-1,950,Totemeier,690.7540934
0.003018344,-1,950,Totemeier,13197.97798
