Heat/Lot ID,Temp (K),Stress (MPa),Life (h)
24085,838.71,206.84,2373.2
24085,838.71,241.32,2735.4
24085,922.04,172.37,645.0
24085,922.04,155.13,2634.0
24085,922.04,137.90,5656.0
24085,922.04,117.21,13830.0
24085,977.59,110.32,365.0
24085,977.59,103.42,540.4
24085,977.59,82.74,2303.0
24085,1144.26,41.37,112.8
24085,1144.26,31.03,594.6
24085,1144.26,27.58,1021.9
24085,1144.26,20.68,3201.0
346544,810.93,317.16,120.1
346544,810.93,317.16,139.3
346544,866.48,206.84,356.1
346544,866.48,206.84,431.0
346544,1144.26,34.47,222.1
346544,1144.26,27.58,747.0
346544,1144.26,20.68,3154.0
535639,810.93,241.32,6401.0
535639,866.48,275.79,156.4
535639,866.48,241.32,164.7
535639,866.48,172.37,719.3
535639,866.48,206.84,941.6
535639,866.48,206.84,1271.0
535639,866.48,137.90,1673.0
535639,866.48,137.90,1681.7
535639,866.48,172.37,2928.0
535639,866.48,155.13,2987.0
535639,922.04,206.84,119.8
535639,922.04,172.37,344.7
535639,922.04,137.90,3034.0
600413m,810.93,317.16,252.6
600413m,866.48,241.32,325.9
600413m,866.48,137.90,1959.0
600413m,866.48,117.21,117148.0
600413m,922.04,172.37,340.0
600414an,866.48,241.32,119.5
600414an,866.48,241.32,415.6
600414an,866.48,206.84,1795.0
600414an,866.48,117.21,93951.6
600414an,922.04,172.37,266.3
8043813-ann-1900F,922.04,172.37,104.0
8043813-ann-1900F,922.04,151.68,577.0
8043813-ann-1900F,922.04,137.90,1642.0
8043813-ann-1950F,810.93,344.74,348.0
8043813-ann-1950F,810.93,310.26,837.0
8043813-ann-1950F,866.48,241.32,287.0
8043813-ann-1950F,866.48,227.53,723.0
8043813-ann-1950F,866.48,220.63,1570.0
8043813-ann-1950F,866.48,206.84,3184.0
8043813-mill,922.04,172.37,298.7
8043813-mill,922.04,155.13,1072.0
8043813-mill,977.59,117.21,178.0
9T2796-ann-1in. plate,755.37,379.21,668.0
9T2796-ann-1in. plate,755.37,344.74,884.0
9T2796-ann-1in. plate,755.37,310.26,3621.0
9T2796-ann-1in. plate,783.15,344.74,122.1
9T2796-ann-1in. plate,783.15,310.26,269.0
9T2796-ann-1in. plate,783.15,275.79,655.0
9T2796-ann-1in. plate,783.15,241.32,3511.0
9T2796-ann-1in. plate,810.93,275.79,139.7
9T2796-ann-1in. plate,810.93,275.79,162.8
9T2796-ann-1in. plate,810.93,241.32,350.4
9T2796-ann-1in. plate,810.93,241.32,594.8
9T2796-ann-1in. plate,810.93,206.84,2219.0
9T2796-ann-1in. plate,838.71,241.32,114.5
9T2796-ann-1in. plate,838.71,206.84,419.9
9T2796-ann-1in. plate,838.71,172.37,2054.0
9T2796-ann-1in. plate,866.48,413.69,110.8
9T2796-ann-1in. plate,866.48,155.13,440.0
9T2796-ann-1in. plate,866.48,172.37,505.0
9T2796-ann-1in. plate,866.48,172.37,553.0
9T2796-ann-1in. plate,866.48,172.37,619.0
9T2796-ann-1in. plate,866.48,155.13,878.0
9T2796-ann-1in. plate,866.48,146.51,1063.0
9T2796-ann-1in. plate,866.48,137.90,1230.0
9T2796-ann-1in. plate,866.48,155.13,1247.0
9T2796-ann-1in. plate,866.48,120.66,15500.0
9T2796-ann-1in. plate,866.48,120.66,15500.0
9T2796-ann-1in. plate,894.26,172.37,119.0
9T2796-ann-1in. plate,894.26,172.37,119.0
9T2796-ann-1in. plate,894.26,137.90,649.0
9T2796-ann-1in. plate,894.26,137.90,649.0
9T2796-ann-1in. plate,894.26,120.66,2635.0
9T2796-ann-1in. plate,894.26,103.42,4596.0
9T2796-ann-1in. plate,894.26,103.42,4596.0
9T2796-ann-1in. plate,894.26,86.18,31527.0
9T2796-ann-2in. Plate,755.37,206.84,34964.0
9T2796-ann-2in. Plate,810.93,137.90,30763.0
9T2796-ann-2in. Plate,866.48,172.37,244.1
9T2796-ann-2in. Plate,866.48,172.37,291.0
9T2796-ann-2in. Plate,866.48,172.37,294.0
9T2796-ann-2in. Plate,866.48,172.37,423.0
9T2796-ann-2in. Plate,866.48,172.37,453.0
9T2796-ann-2in. Plate,866.48,124.11,4544.0
9T2796-ann-2in. Plate,866.48,110.32,14647.0
9T2796-ann-2in. Plate,866.48,82.74,100417.0
9T2796-ann-5/8in.,922.04,172.37,104.0
