Heat/Lot ID,Temp (R),Stress (ksi),Time to 1% (h)
24085,1659.67,20.00,260.0
24085,1659.67,17.00,7000.0
24085,1759.67,16.00,35.0
24085,1759.67,15.00,54.0
24085,1759.67,12.00,530.0
24085,2059.67,6.00,2.5
24085,2059.67,4.50,17.5
24085,2059.67,4.00,37.0
24085,2059.67,3.00,166.0
346544,2059.67,5.00,14.5
346544,2059.67,4.00,56.0
346544,2059.67,3.00,430.0
346845,2059.67,5.00,6.4
346845,2059.67,4.00,25.5
346845,2059.67,3.50,170.0
535639,2209.67,2.20,6.0
9T2796-ann-1in. plate,1659.67,10.00,640.0
9T2796-ann-1in. plate,1659.67,10.00,780.0
9T2796-ann-1in. plate,1759.67,10.00,13.0
9T2796-ann-1in. plate,1759.67,10.00,21.0
9T2796-ann-1in. plate,1759.67,10.00,24.0
9T2796-ann-1in. plate,1759.67,8.70,47.0
9T2796-ann-1in. plate,1759.67,7.50,140.0
9T2796-ann-1in. plate,1759.67,7.50,150.0
9T2796-ann-1in. plate,1859.67,8.50,4.2
9T2796-ann-1in. plate,1859.67,7.50,8.5
9T2796-ann-1in. plate,1859.67,7.50,10.0
9T2796-ann-1in. plate,1959.67,5.00,10.5
9T2796-ann-1in. plate,1959.67,5.00,13.5
9T2796-ann-1in. plate,2059.67,5.00,2.1
9T2796-ann-1in. plate,2059.67,4.00,8.0
9T2796-ann-1in. plate,2059.67,2.50,200.0
C-804,1559.67,13.75,27000.0
C-804,1659.67,12.00,1000.0
C-804,1659.67,11.00,2100.0
C-804,1659.67,10.00,7200.0
C-804,1659.67,10.00,7400.0
C-804,1659.67,10.50,8700.0
C-804,1659.67,9.50,14000.0
C-804,1659.67,9.00,16700.0
NIMS ABE,1661.67,14.21,2400.0
NIMS ABE,1661.67,12.79,11100.0
NIMS ABE,1661.67,11.37,19600.0
NIMS ABE,1661.67,9.95,42200.0
NIMS ABE,1661.67,8.81,54500.0
NIMS ABE,1661.67,6.82,87100.0
NIMS ABE,1751.67,14.21,41.1
NIMS ABE,1751.67,9.95,2540.0
NIMS ABE,1751.67,8.81,6310.0
NIMS ABE,1751.67,7.67,18400.0
NIMS ABE,1751.67,6.82,26400.0
NIMS ABE,1751.67,5.97,29800.0
NIMS ABE,1751.67,4.21,57600.0
NIMS ABE,1841.67,5.37,16000.0
