Heat/Lot ID,Temp (K),Stress (MPa),Time to 1% (h)
24085,922.04,137.9,260.0
24085,922.04,117.21,7000.0
24085,977.59,110.32,35.0
24085,977.59,103.42,54.0
24085,977.59,82.74,530.0
24085,1144.26,41.37,2.5
24085,1144.26,31.03,17.5
24085,1144.26,27.58,37.0
24085,1144.26,20.68,166.0
346544,1144.26,34.47,14.5
346544,1144.26,27.58,56.0
346544,1144.26,20.68,430.0
346845,1144.26,34.47,6.4
346845,1144.26,27.58,25.5
346845,1144.26,24.13,170.0
535639,1227.59,15.17,6.0
9T2796-ann-1in. plate,922.04,68.95,640.0
9T2796-ann-1in. plate,922.04,68.95,780.0
9T2796-ann-1in. plate,977.59,68.95,13.0
9T2796-ann-1in. plate,977.59,68.95,21.0
9T2796-ann-1in. plate,977.59,68.95,24.0
9T2796-ann-1in. plate,977.59,59.98,47.0
9T2796-ann-1in. plate,977.59,51.71,140.0
9T2796-ann-1in. plate,977.59,51.71,150.0
9T2796-ann-1in. plate,1033.15,58.61,4.2
9T2796-ann-1in. plate,1033.15,51.71,8.5
9T2796-ann-1in. plate,1033.15,51.71,10.0
9T2796-ann-1in. plate,1088.71,34.47,10.5
9T2796-ann-1in. plate,1088.71,34.47,13.5
9T2796-ann-1in. plate,1144.26,34.47,2.1
9T2796-ann-1in. plate,1144.26,27.58,8.0
9T2796-ann-1in. plate,1144.26,17.24,200.0
C-804,866.48,94.8,27000.0
C-804,922.04,82.74,1000.0
C-804,922.04,75.84,2100.0
C-804,922.04,68.95,7200.0
C-804,922.04,68.95,7400.0
C-804,922.04,72.39,8700.0
C-804,922.04,65.5,14000.0
C-804,922.04,62.05,16700.0
NIMS ABE,923.15,97.97,2400.0
NIMS ABE,923.15,88.18,11100.0
NIMS ABE,923.15,78.39,19600.0
NIMS ABE,923.15,68.6,42200.0
NIMS ABE,923.15,60.74,54500.0
NIMS ABE,923.15,47.02,87100.0
NIMS ABE,973.15,97.97,41.1
NIMS ABE,973.15,68.6,2540.0
NIMS ABE,973.15,60.74,6310.0
NIMS ABE,973.15,52.88,18400.0
NIMS ABE,973.15,47.02,26400.0
NIMS ABE,973.15,41.16,29800.0
NIMS ABE,973.15,29.03,57600.0
NIMS ABE,1023.15,37.02,16000.0
