Heat/Lot ID,Temp (R),Stress (ksi),Life (h)
33,1481.4,48,1213
33,1481.4,45.54,1349
33,1526.4,44.96,232
33,1526.4,44.96,325
33,1526.4,41.04,1260
33,1526.4,40.03,1810
33,1526.4,38,2350
33,1526.4,36.11,4780
33,1526.4,34.95,7500
33,1526.4,33.07,11680
33,1526.4,33.94,16375
33,1526.4,32.63,21740
33,1526.4,27.99,42050
33,1526.4,23.93,43690
33,1616.4,30.02,504
33,1616.4,31.03,555
33,1616.4,27.41,1010
33,1616.4,28.57,1969
33,1616.4,29,2534
33,1616.4,26.39,3140
33,1616.4,27.41,3280
33,1616.4,29,3330
33,1616.4,24.94,5760
33,1616.4,24.07,6460
33,1616.4,25.96,7160
33,1616.4,25.96,7600
33,1616.4,22.91,9400
33,1616.4,22.04,13016
33,1616.4,21.03,14658
33,1616.4,19,24176
33,1616.4,15.08,43560
55318,1659.4,30,290.5
55318,1859.4,14,196.2
55319,1659.4,30,367.6
55319,1859.4,14,222.3
55320,1509.4,54.99,194
55320,1509.4,49.99,360.5
55320,1509.4,47.99,502.6
55320,1509.4,45,2483.2
55320,1659.4,34,120.6
55320,1659.4,30,448.8
55320,1659.4,29,529.5
55320,1659.4,26,970
55320,1659.4,24,2132.6
55320,1859.4,15,121.5
55320,1859.4,14,222.7
332990,1459.4,68.99,106
332990,1459.4,59.99,129.6
332990,1459.4,57.99,203.9
332990,1459.4,54.99,263.1
332990,1459.4,49.99,432.9
332990,1459.4,45,1032
332990,1459.4,40,2795
332990,1559.4,38,157.8
332990,1559.4,40,196.9
332990,1559.4,36,236.2
332990,1559.4,34,338.1
332990,1559.4,36,359.2
332990,1559.4,38,481.1
332990,1559.4,32,1113.2
332990,1559.4,31,2395
332990,1659.4,29,115
332990,1659.4,30,141.2
332990,1659.4,28,168.4
332990,1659.4,25,374.5
332990,1659.4,23,989
332990,1659.4,22,1294
332990,1859.4,12,274.6
332990,1859.4,10,1050.5
332990,1859.4,9,1810.1
  CSC SHT,1659.4,25,360
  CSC SHT,1659.4,23,1183
  CSC SHT,1859.4,12,217
